date,minimum,maximum,range,mean,std
2023-11-26,17.3636760712,17.5937213898,0.230045318604,17.446914111,0.0452303529191
2023-11-27,18.2462005615,18.428560257,0.182359695435,18.3502292633,0.0500321270877
2023-11-28,18.6350727081,18.9172534943,0.282180786133,18.7506211303,0.0727055169593
2023-11-29,20.5325622559,20.7048492432,0.172286987305,20.6196935935,0.0355913171077
2023-11-30,20.3898525238,21.0698280334,0.679975509644,20.6923505798,0.188701067735
2023-12-01,18.589756012,19.3089828491,0.719226837158,18.9666189149,0.188373604162
2023-12-02,16.4806098938,16.7203025818,0.239692687988,16.6152752277,0.0675071353479
2023-12-03,16.1225547791,16.2276515961,0.105096817017,16.1671796843,0.0256689876395
2023-12-04,17.3111629486,17.5489139557,0.23775100708,17.4540865403,0.0611910493088
2023-12-05,13.8184185028,14.34907341,0.530654907227,14.1105832832,0.14122897047
2023-12-06,16.1685276031,16.7441005707,0.575572967529,16.5340393865,0.151909929935
2023-12-07,18.3724346161,18.4521026611,0.0796680450439,18.398304444,0.0165630996778
2023-12-08,19.0312633514,19.1142883301,0.0830249786377,19.0717074224,0.0191587074636
2023-12-09,19.13829422,19.2764759064,0.138181686401,19.1884486916,0.0265399267749
2023-12-10,19.6944828033,20.3525924683,0.658109664917,20.0136385334,0.179235076455
2023-12-11,20.2666931152,21.103433609,0.836740493774,20.7095634549,0.224405351337
2023-12-12,20.2536239624,20.6214027405,0.367778778076,20.4353088704,0.0989121714772
2023-12-13,17.2578125,17.9278697968,0.670057296753,17.6310707802,0.174364988884
2023-12-14,15.9112501144,16.630903244,0.719653129578,16.3215327374,0.18660679209
2023-12-15,18.1339473724,18.255449295,0.121501922607,18.203498929,0.0294082385529
2023-12-16,18.6629257202,18.7903289795,0.127403259277,18.7417942018,0.0312368426805
2023-12-17,17.0091705322,17.7279338837,0.71876335144,17.3617445036,0.1953511182
2023-12-18,16.5017280579,16.9283752441,0.426647186279,16.7353363185,0.108854145749
2023-12-19,16.3341941833,16.5516967773,0.217502593994,16.4413331645,0.0592752096411
2023-12-20,15.852440834,16.9040470123,1.05160617828,16.4474582968,0.276450285761
2023-12-21,16.6102905273,17.0000476837,0.389757156372,16.7844702846,0.0745650592888
2023-12-22,19.0982589722,19.4993686676,0.401109695435,19.335336212,0.111683899286
2023-12-23,17.5884246826,18.0611667633,0.472742080688,17.8218578516,0.121388169111
2023-12-24,17.1660194397,17.725687027,0.55966758728,17.4125880456,0.149001523787
2023-12-25,16.3610420227,16.6572170258,0.296175003052,16.54928407,0.0729617001928
2023-12-26,16.5068798065,16.9521389008,0.445259094238,16.7911945166,0.112636796448
2023-12-27,14.7291412354,15.3999643326,0.670823097229,15.0846588519,0.182323288746
2023-12-28,16.9235687256,17.0172977448,0.093729019165,16.9761819174,0.0193650354782
2023-12-29,16.7457809448,17.0630931854,0.317312240601,16.9487994882,0.0811930729023
2023-12-30,17.3753547668,17.8310279846,0.455673217773,17.5932519159,0.118609146081
2023-12-31,18.0946903229,18.7962474823,0.701557159424,18.5421058596,0.19143136801
2024-01-01,17.812330246,17.9855670929,0.173236846924,17.9134780825,0.0440011328775
2024-01-02,18.4795761108,18.5901107788,0.110534667969,18.5365140604,0.0321581371294
2024-01-03,18.9345359802,19.4701347351,0.535598754883,19.2501413656,0.144980191814
2024-01-04,18.3362674713,19.060590744,0.724323272705,18.7698699005,0.192117663534
2024-01-05,15.1214103699,16.0521755219,0.930765151978,15.6830586944,0.246754335121
2024-01-06,14.9821624756,16.0484962463,1.06633377075,15.6280837096,0.284449755083
2024-01-07,14.871963501,15.0341129303,0.162149429321,14.9212270485,0.0334982533602
2024-01-08,14.3807973862,15.4539299011,1.07313251495,15.0282895288,0.296473127664
2024-01-09,12.8151884079,13.4745130539,0.659324645996,13.2149213081,0.184478176892
2024-01-10,16.4926490784,16.977973938,0.485324859619,16.7804792833,0.136971417303
2024-01-11,16.0564956665,16.2841243744,0.227628707886,16.1942273221,0.0575986435781
2024-01-12,16.8176021576,17.6571540833,0.839551925659,17.3280235852,0.220406168108
2024-01-13,17.0343914032,18.5354042053,1.50101280212,17.9362679859,0.418093205713
2024-01-14,20.5940608978,20.6396884918,0.0456275939941,20.604993628,0.0117278572217
2024-01-15,19.5178337097,19.7856960297,0.267862319946,19.6726526364,0.0769479046356
2024-01-16,19.3117961884,19.5815658569,0.269769668579,19.4673803019,0.0717786702307
2024-01-17,19.5102214813,19.6834964752,0.173274993896,19.6106480147,0.0430474627322
2024-01-18,18.8046321869,18.9901351929,0.185503005981,18.924194055,0.0432504678496
2024-01-20,15.8306713104,16.7506084442,0.919937133789,16.38764944,0.24059933363
2024-01-21,17.7473983765,17.9537029266,0.206304550171,17.8145175904,0.0400678810558
2024-01-22,17.7753505707,18.0241470337,0.248796463013,17.8465326738,0.0541261435633
2024-01-23,20.5249195099,21.2435703278,0.718650817871,20.8057227763,0.204533636471
2024-01-24,22.1068325043,22.4910240173,0.384191513062,22.2374520117,0.103973877765
2024-01-25,21.7326488495,22.7206001282,0.987951278687,22.1129346153,0.280408414384
2024-01-26,21.418214798,21.9049854279,0.486770629883,21.6021108997,0.130216731165
2024-01-27,19.4999351501,19.619884491,0.11994934082,19.5410566847,0.0346735608192
2024-01-30,19.004524231,19.4214878082,0.416963577271,19.134711066,0.109213906845
2024-02-01,18.5101051331,18.8701400757,0.360034942627,18.639316825,0.0979433852961
2024-02-02,17.5254249573,18.1878013611,0.662376403809,17.7799886511,0.179738981635
2024-02-03,18.2059574127,18.5829315186,0.376974105835,18.3353061824,0.103335923613
